TMEM57,TMEM57
WT1,6.33519826677531,6.33519826677531
WT2,6.17290024494865,6.17290024494865
WT3,5.80541993132717,5.80541993132717
T41,6.0283923644307,6.0283923644307
T42,5.94668140605953,5.94668140605953
T43,6.12548338601248,6.12548338601248
GB1,6.71186945049001,6.71186945049001
GB2,6.743047073118,6.743047073118
GB3,6.80840918774569,6.80840918774569
HifiH1,NA,NA
HifiH2,NA,NA
HifiH3,NA,NA
HifiH41,NA,NA
HifiH42,NA,NA
HifiH43,NA,NA
HifiHB1,NA,NA
HifiHB2,NA,NA
HifiHB3,NA,NA
