ZNF498,ZNF498
WT1,3.42819735368338,3.42819735368338
WT2,3.78580027570749,3.78580027570749
WT3,3.54757619505829,3.54757619505829
T41,3.52868867561798,3.52868867561798
T42,3.68879351198461,3.68879351198461
T43,3.15093560669107,3.15093560669107
GB1,2.92969258572852,2.92969258572852
GB2,3.754595215188,3.754595215188
GB3,2.9841850673762,2.9841850673762
HifiH1,NA,NA
HifiH2,NA,NA
HifiH3,NA,NA
HifiH41,NA,NA
HifiH42,NA,NA
HifiH43,NA,NA
HifiHB1,NA,NA
HifiHB2,NA,NA
HifiHB3,NA,NA
