C1orf204,C1orf204
WT1,5.05062858646326,5.05062858646326
WT2,4.67367562729624,4.67367562729624
WT3,4.48881463534569,4.48881463534569
T41,3.92038742220728,3.92038742220728
T42,3.92210830823668,3.92210830823668
T43,4.12943872464171,4.12943872464171
GB1,3.93738294692184,3.93738294692184
GB2,4.51947482666426,4.51947482666426
GB3,4.35171186946889,4.35171186946889
HifiH1,NA,NA
HifiH2,NA,NA
HifiH3,NA,NA
HifiH41,NA,NA
HifiH42,NA,NA
HifiH43,NA,NA
HifiHB1,NA,NA
HifiHB2,NA,NA
HifiHB3,NA,NA
