0,1,2,3,4,5,6,7
,,"Deletion
(16126 reads)","Insertion
(20012 reads)",,"Unmodified
(3390 reads)",,"UC(Other)
(762 reads)"
0,0,16126,20012,0,3390,0,762
0.0,0.0,40.02482005460412,49.669893273765204,0.0,8.413998510796723,0.0,1.8912881608339538
