0,1,2,3,4,5,6,7
,,"Deletion
(8407 reads)","Insertion
(19486 reads)",,"Unmodified
(5409 reads)",,"UC(Other)
(833 reads)"
0,0,8407,19486,0,5409,0,833
0.0,0.0,24.628680240222643,57.085103266442076,0.0,15.845905961622966,0.0,2.440310531712319
