V1
:10D:mh1,30
:10D:mh2,240
:10D:mh3,38
:11D,243
:11D:mh1,27
:11D:mh2,16
:12D,66
:12D:mh2,33
:12D:mh5,41
:13D:mh1,7
:13D:mh2,82
:14D,140
:14D:mh1,3
:15D,1
:15D:mh1,30
:16D:mh2,82
:16D:mh3,37
:17D,9
:17D:mh1,22
:18D,15
:18D:mh2,28
:19D,16
:19D:mh1,20
:19D:mh2,13
:19D:mh3,7
:1D,1
:1D:mh1,3922
:1I:A,10
:1I:C,395
:1I:T,3
:1I:W,257
:20D,30
:20D:mh1,5
:20D:mh2,3
:20D:mh3,1
:21D,14
:21D:mh1,1
:22D,25
:22D:mh1,4
:23D,8
:23D:mh3,2
:24D,21
:24D:mh2,5
:24D:mh4,18
:25D,6
:25D:mh1,5
:25D:mh3,13
:26D,9
:26D:mh1,7
:27D,16
:27D:mh1,4
:28D,15
:28D:mh3,11
:29D,16
:29D:mh3,16
:2D,606
:2D:mh1,2
:32D,17
:32D:mh4,13
:33D,12
:33D:mh3,6
:34D,32
:34D:mh3,25
:35D,19
:35D:mh3,8
:36D,30
:36D:mh3,16
:37D,6
:37D:mh1,13
:38D,15
:39D,11
:3D:mh1,206
:3D:mh3,181
:40D,6
:40D:mh1,1
:41D,20
:42D,3
:43D,13
:44D,8
:45D,27
:46D,9
:47D,8
:48D,15
:49D,11
:4D:mh1,33
:4D:mh2,289
:51D,5
:52D,2
:53D,5
:54D,16
:55D,6
:56D,5
:57D,8
:58D,22
:5D,473
:6D,189
:6D:mh1,2
:7D,148
:7D:mh1,1
:8D,379
:8D:mh1,2
:9D:mh3,23
:9D:mh4,137
