A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,XRCC6
A2LD1,3.76861486911997,6.53270507907644,6.68345097544741,7.63392356628649,7.76162303273651,8.55834382373653,5.88324546117599,6.88996344538386,7.07999637236588
ATP5G1,8.25708730892313,2.84014304245149,8.36930545127167,9.35534947046219,7.62864301421783,7.09150601138107,7.4241486997002,7.2155683298704,5.69609991655318
BRP44,6.14057103270158,6.64059929520911,5.58745712894027,7.7534159022145,8.19114649700431,8.02183199188712,5.64252871069731,7.93443172449797,7.3029669618345
C16orf93,7.23363055613379,3.60586839426429,5.92897063240141,7.83432854475393,6.33500976697128,6.36238769643671,5.51587926835238,6.57551605107308,4.06939873854834
CD34,8.47795532935028,6.33606473518195,9.07942641425745,10.8246439862472,2.09138327607027,3.56647792829948,8.43814119346178,8.92470142780772,8.23564698621905
MAP3K1,7.5090153413682,4.26472912902716,8.25088799809286,9.57556700400437,3.7307940086972,1.86327357987498,6.70973421996339,8.08090827718599,6.5646149009507
PCSK91,7.99167582084148,4.91793477291505,7.90587659033243,9.28287227481606,6.98727477014805,7.13489150700936,2.34940029799641,7.68454943159912,4.00113110434486
PPP1R12C-Exon2,7.04773980146684,5.86231039680619,5.50585805999885,7.60510013294289,7.74655147215414,8.035621812919,6.03128460906689,5.16312028880481,7.21896332154204
XRCC6,7.5387168231796,7.31235418600948,8.51526576842192,8.95751615812089,8.30497130733874,8.40773851853282,4.4174733516255,8.19886149542483,3.44419252654411
