A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,1.9068910057733,3.02813180573203,3.86216211995994,3.73462243085823,5.57690856597903,5.87921086940636,4.82687069862308,2.16562710036566,1.99907635458875,5.43384457709579,2.32197095838284,2.50019701342709,1.79923598179558,5.05974311014913,3.99696099548677,2.84706489535586,3.32103847961786,2.9033310150305,2.238971125372
AR,2.02715095780907,1.45583710305594,1.82270145999218,2.22192886529428,2.92359473236042,3.25508398169476,3.23493353151536,1.52283656009691,2.08473748504106,2.91007663176446,2.13806636520698,1.46124482954186,1.37977382700206,2.41207959886803,1.94078843645358,1.54259159723826,1.59854380254072,1.68995733041138,1.62221354349437
ATP5G1,2.48201869982506,1.58704759833335,0.880934530372377,1.4811000238681,1.89008261902603,1.82644929551375,1.82624382310956,2.02438673406002,2.39145070114826,2.08316772821996,2.16770253250967,2.06749905015787,1.76739743655001,1.38479824618287,2.20466444493855,2.1773159463159,1.07093063509833,1.58453343057167,2.46667039145842
BRP44,1.14064225282543,1.4194988744728,2.01991553189717,2.00905101219677,2.89688552085803,2.69536948436619,2.57522773374735,0.914076196320792,1.02361309082752,2.69326221714205,0.774832779068642,1.01040957879741,0.883448341629357,2.43816614502617,2.27876745522608,1.40104295166147,1.80586842705723,1.12302704806178,1.12599282902109
C16orf93,2.41945856742703,2.02076565921219,1.65058529627517,2.04192934500806,1.55142519069269,2.14626584052816,2.13168111903134,2.12912497377819,2.50246215327573,2.85703073000647,2.37733387587333,1.99136800076652,1.85498830281131,1.57609038168866,2.90191648919122,2.73324659908768,1.95359730291461,1.89882709074832,2.92337270038483
C17orf96,2.35180701172028,2.69371296849755,2.98199750976444,2.69603681434232,2.86704323970402,1.98905337928783,2.83482167333303,1.69348442002296,1.79282198571749,4.15970683723179,2.12470885055885,1.57639059954973,2.00167043543643,2.01822987711144,2.96185038004991,2.36762235084332,2.82917505603095,2.65374025457753,1.82341097580807
C1orf204,2.02429236869053,2.38925174648667,2.81305061951254,3.04904570713376,3.83657069944601,3.00614703425547,2.61358186243857,1.50244024694139,1.21894895803298,3.34944817038167,1.51793957837205,1.52178020536308,1.80978583649697,2.91260095049917,3.51923875866507,1.84575717827705,2.87125540439473,1.99353601148778,1.53467790338665
CD34,3.47569214355977,3.43638543910594,4.52453870207905,4.68437210175517,4.27613007277187,4.6486034783456,5.00271508385,2.02227405485419,2.21471558985488,4.68300303389151,2.89530189403608,2.01536792883936,3.08135085545762,4.17686458926476,3.97067878086306,2.61661725678977,4.87995235332138,3.0758904194697,2.42081467978556
FAM159B,2.30949315633691,3.25448916148,2.43689855586113,3.45159782397835,5.27496831978644,3.77960120684348,2.74880936123035,2.53680104587597,1.52612700956959,2.76485736904761,2.08292846220902,2.55710967269618,1.82920882560631,3.52544193759209,5.17339750925594,3.61683027655921,2.32620991999932,1.73091436075285,2.88377318090451
HBXIP,2.63360110148391,2.90790888368979,2.09869873184542,2.81960220575019,2.71220967092486,2.4149695197114,2.29202075408627,2.46900463894222,2.30474895034647,1.22156766182354,2.13520117313431,2.68904965160204,1.76896164499544,1.9167438696646,5.19896223087967,3.72034772808684,2.36937527819501,1.3564180590561,3.22308315986664
