A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,1.43293305506626,2.38330784912882,2.57300697703726,2.99559236758816,1.39708540233793,1.55637250720389,1.09802429271388,2.4547212487533,2.20123577055912,1.54223653977506
ATP5G1,4.35841575994981,1.61055091027141,2.57546412370237,3.72320795947656,3.31195626309861,3.25950066276031,2.80824738994479,2.76454932917987,1.51637917502451,2.4961962428689
BRP44,3.09226082936044,1.67260840473358,2.58439052810313,3.24145825901605,2.64554632868929,2.45601424269203,1.95378405929456,2.45458619470565,1.68765497596392,1.96374996485545
C16orf93,4.2341644677788,1.70472517333047,2.73407573213204,3.24044807511214,3.1886498327539,3.44267047009921,2.7269021456669,2.63618781429108,1.76367808682531,2.64542432616567
CD34,1.95826745219934,3.57187655769571,3.27806375252137,3.79585674529358,1.50101127280972,1.54892256634198,1.92009145325292,3.08092618540693,3.25061695954749,2.0018235338052
MAP3K1,2.21166060786429,2.36422771906522,3.25662623843623,4.00994820511638,1.76259578076737,1.44342277460566,1.84247568327192,2.60252840991531,2.25771519371691,1.83812831960447
PCSK91,1.98918028643393,1.70115107394368,2.38127405513739,2.5622745051012,1.21123107747481,1.51130254398481,1.43528463014939,1.87438512935818,1.78405883530199,1.41305100902669
PPP1R12C-Exon2,3.9110192533582,2.39513758264281,3.85343634593193,4.10953587653576,3.15397434381465,3.13612034259432,2.82776903541809,2.81179966812782,2.44888748333962,3.01743766098803
TPH22,5.52936935225847,2.67931139702616,3.72115509126688,5.85002831887924,4.67664871645233,4.4169653788626,3.87929850083542,4.4533029237148,2.32132930044349,3.90673477295945
XRCC6,2.63484834351149,4.11070506556884,4.3954478867512,3.39742238515337,1.97220421828331,2.29551239285907,2.46080633056494,3.74285306239235,4.14835574659156,2.89825047864558
