A2LD1,AR,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,1.40561621307182,2.66555472929386,3.29706184460304,4.17546002700718,3.77280206476263,3.46031937270899,1.85295824980863,1.45318848739948,3.76929711348172,1.7838370879741,1.74349066448236,1.39724931495286,3.33351177757139,3.52602895776201,3.63730363900617,2.31751763058635,3.01249936956374,2.00750566423887,1.73910201331522
AR,1.71544893560805,1.80766594381737,2.78020474970095,4.96328791865587,4.12760463476778,3.90179087954672,1.47453458677276,1.59487274767912,3.43713920381909,1.43514294971937,1.54646275259884,1.50642132248302,3.90069969827435,3.27852019654674,2.29453695275583,1.67852860258001,2.75369306289269,1.80400641934217,1.29590028639822
BRP44,1.07521756205419,1.16405446094178,1.50895845199555,2.12618934137455,2.27936181814626,2.0403040449914,0.983075820368695,1.14952294055673,2.50831447884407,0.766775583456345,0.99936400721818,0.83980771134009,1.79755895877834,1.89733067455409,1.90983283174542,1.41173957197857,1.23352123187656,0.988045266142712,1.22382972584988
C16orf93,1.77733894676738,1.38302985138139,1.56297904650063,2.81578775186485,2.67765138193646,2.19689123715651,1.45228167749969,1.67915285102271,2.49861267795598,1.61410873641016,1.52091598543746,1.05244438078883,2.32650286872329,1.69164053095268,2.40993498052505,2.01945246250625,1.65701298658762,1.24689875806534,1.96387552040152
C17orf96,2.1949153681965,2.37346679580978,2.24911098060432,2.36749646445933,1.80167010598418,2.6434087993416,1.94214930178935,2.05802289039732,2.71510646655744,1.67440873500496,1.72180748477322,1.67333038317939,1.84869314611387,2.71425803252966,2.97772667358888,2.61025932727523,1.908831004934,1.54171079465751,2.19832808158243
C1orf204,1.69920327178984,2.09957184402008,2.51835485684226,3.41181719253869,2.4124737644045,1.98275194359498,1.59543264598499,1.54692477216074,2.78142650157488,1.28599347148028,1.61307673840134,1.36798174540274,2.21648211854686,2.70401232749948,3.53695246626243,2.09375725364515,2.14016368404279,1.54480214923876,1.74429721208128
CD34,2.60352605363228,3.29164571746355,4.28594343764426,4.7544490084017,4.6759884323633,4.68011541064798,1.90638580389707,1.90405495909852,4.67887129155888,2.04252056112784,1.98246605168986,2.53492588996683,4.23386888623808,4.70017034463418,3.80626452418166,2.42471436969301,4.32666548698026,2.87805649153873,2.05151084039003
FAM159B,1.84897255540659,1.98269333600552,2.48838869706378,3.6286906080808,3.70620667995715,2.51538354665752,1.47778601172655,1.02597567787685,3.3563949393914,1.51450025645696,1.56581791192498,1.59035097647675,3.11702119538407,2.76807371057762,3.22103099702093,2.01405891081716,2.0825726710287,1.61355110758401,1.90428578114825
HBXIP,2.66964921227287,1.93842372203444,1.93731863231924,2.68683868223699,2.02034467046869,2.06501089958644,1.98900439190738,2.02671204686519,1.05433161344508,1.89991846127438,2.10520423846549,1.58941794019669,1.76184483791724,1.67503477606296,3.2367067042082,2.49112523733715,1.46784142936714,1.09440109646946,2.43120870846327
MAP3K1,1.49394571189673,2.00134265869538,2.37729360131214,2.92583110755591,3.0611846196572,2.82493469262273,1.22151917929015,1.10017346773985,3.24910274880942,0.933638571034057,1.14960482799172,1.3869850995126,2.5159409414412,2.97911002092133,2.4828761038685,1.50612156525783,2.04351217024348,1.63618473083663,1.32270664533176
ODZ3,2.43711616973209,3.50347428246469,4.73085145130617,4.96892205912234,5.28685770619787,5.33140375093268,2.27366430412142,2.19840633415867,6.92111877672849,2.3170203844525,1.87364332647279,2.83784361038368,4.59573630830292,5.5353363368346,3.58987055103674,2.28317231857758,4.84308530874955,3.85353983262465,1.93777846056515
PCSK91,1.81676194825814,2.59815676982898,3.16115011359362,3.93976478306883,3.7979219756435,3.82219818971318,1.8513145939627,1.77372738879186,3.91048659516178,1.83089139227998,1.57741275964358,1.4881256003262,3.29990337189476,3.50269737031178,3.40134395853778,2.23866813204245,2.81353862977938,2.08383070633392,1.86984465992845
PPP1R12C-Exon2,2.12521009393619,2.25065066200498,2.56643047899393,2.47974916528106,2.0220835198063,2.62102231290031,1.8229438946782,2.16345762857708,3.08864270041981,1.81729522551532,1.70268827779026,1.6145804211566,1.70112134551566,3.05319961599477,3.13135010250594,2.51924424978013,1.86429158053233,1.89266837333291,2.15645547905913
PTPLB,1.88179709503028,1.48598917371986,1.38794026188532,2.05258301251111,2.48518072409882,2.38040245105534,0.933569869244429,1.720709243537,2.46492799856953,1.38361157515116,1.54995660704889,1.07912725464349,2.23324059029825,1.33596112468341,2.57705832345378,1.99423251035844,1.55226845208019,1.43676613035669,1.90075588186589
RP4-697K147,1.83755632227298,1.86003601361051,2.78308904985833,3.60679368355538,3.13564151713715,3.55046259235021,1.45269904821432,1.43560255922501,3.62203267822005,1.73009361036873,1.26104026706779,1.61346240896359,2.82812538732474,3.25650677222488,1.87336258163079,1.46316978782076,2.20589446943019,1.7847231286378,1.36412889659768
