A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,1.15022294576739,3.7206046548193,3.83668607685208,4.3411009155434,1.58429045940583,1.75504433370664,1.50160751942486,4.32911914058384,3.51853019919973,2.50028706984405
ATP5G1,3.19334934649279,0.750661205779518,2.01569886607911,2.77473464343172,2.54780407158614,2.40905818516284,2.1970606101668,1.68216333045356,0.870875246358071,1.79571351386834
BRP44,1.41885528778596,1.80795361666438,2.15398437234896,2.66717881894192,1.65856229522051,1.23192393539797,1.09569752199386,2.43033818961114,1.92916184263271,1.47445536371651
C16orf93,2.31171489573837,1.85325926458332,2.22615033904375,1.30874805651609,1.88142919578678,2.55501317372104,1.7573218929247,1.78906085801609,2.18293279562733,2.26956715447999
CD34,2.94843062864331,5.33132515185453,4.66221990557188,5.47712229874389,2.16478729086811,2.36682436281838,2.9427340698376,5.11961184546764,4.84257408418502,3.49932789621988
MAP3K1,1.36664988496899,2.75279206228651,2.43824583173526,3.79911136919595,1.38020496796259,0.879477063993084,1.32226918788284,3.02878647713212,2.61834193196206,1.8008774703165
PCSK91,1.70592809902039,3.72187286498167,3.79463326858914,4.46148478516566,1.76539745802193,1.62743850148551,1.61672397218789,3.84459945927591,3.67315760451388,2.29682519819737
PPP1R12C-Exon2,2.85260775864596,2.18466914506317,4.08873861880316,3.7395076808904,2.95563655445871,2.74101051754608,2.0735622097476,2.62215546221628,2.34908072096094,2.27788452589422
TPH22,2.34543578588698,0.77919944483319,1.49414655926445,2.80179473488961,1.7634168189598,1.74922259637168,1.49034699047857,1.66855842852836,0.692236851353793,1.34117170122901
XRCC6,2.18405622588198,3.2217131958443,3.477285619098,4.5882311850018,1.76392430416985,1.8775831079956,1.70074233781757,4.1356170493247,3.37973777783385,2.17769282363168
