0,1,2,3,4,5,6,7
,,"Deletion
(5 reads)",,,,,"UC(Other)
(35416 reads)"
0,0,5,0,0,0,0,35416
0.0,0.0,0.014115919934502131,0.0,0.0,0.0,0.0,99.9858840800655
