A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.84534722189636,6.71737900865964,6.56815560446789,7.99658633451808,5.99222797099609,6.93033827453505,7.33895949338381,6.97651501850525,4.61126541257874,8.10523983647746
ATP5G1,7.53495658607998,1.85799498421811,7.48142628254785,8.57527911782078,5.96534191999575,5.60228723844956,6.49733429039379,6.56862023508934,4.35230348011637,5.11124663439181
BRP44,5.5438951043411,5.69968938350949,5.06405996080866,7.24722116652672,7.41990890945266,6.54156554149393,5.23831092532233,7.00630742948332,4.18785974023552,6.19454197846464
C16orf93,7.36585525666769,4.83620614252636,5.61761744016107,7.1590366834672,6.29776089647576,7.00728635035107,4.30279214120876,7.16041505839288,4.82417120509158,4.60187271204054
CD34,8.4204027715705,6.98799872164786,9.26723671097955,10.8402801643521,1.56473996263585,3.43275362028157,8.49948984435508,9.31147330292537,9.00946564090838,8.63984975745512
MAP3K1,6.78219615625125,4.83406444362113,6.86838432970179,8.55584291712215,3.32350450164471,1.50578058368085,4.86105582158298,7.43913171980567,4.82924004654886,5.46492006703534
PCSK91,7.9006518795604,6.89891275386885,8.6798939028997,10.249072831792,6.52728803385903,6.48883985566961,1.8514852406552,9.1266766885718,6.78495063333449,4.76126315693047
PPP1R12C-Exon2,5.42609389247531,5.37349822973394,5.14454846024981,6.74791108088429,6.27840734104964,6.52315676060768,4.55816584538276,4.54470795493,3.69623231245173,5.56185894722788
TPH22,6.30983015646026,3.51997985268394,5.73874649131085,7.08004426508876,5.73280261140197,5.65185073147859,5.20869586436575,6.08937528736911,1.83217718874367,5.67458021843622
XRCC6,5.34652065430229,4.94770642857428,6.39335139308259,6.57296492759697,6.51589428476034,6.53527913803621,3.92640495943288,6.11905441720069,5.68859776264762,2.25374375202133
