ATP5G1,ATP5G1
WT1,2.06387980571501,2.06387980571501
WT2,1.88770696932397,1.88770696932397
WT3,1.87764022605565,1.87764022605565
T41,2.60025617247522,2.60025617247522
T42,3.73670376008034,3.73670376008034
T43,2.41653883123845,2.41653883123845
GB1,2.21998846717434,2.21998846717434
GB2,2.30014721417545,2.30014721417545
GB3,2.1994422516577,2.1994422516577
HifiH1,2.80056828078489,2.80056828078489
HifiH2,1.96290880777192,1.96290880777192
HifiH3,1.85799498421811,1.85799498421811
HifiH41,2.84014304245149,2.84014304245149
HifiH42,2.46839469671868,2.46839469671868
HifiH43,2.86356185303972,2.86356185303972
HifiHB1,3.07320901606868,3.07320901606868
HifiHB2,1.81157770369931,1.81157770369931
HifiHB3,1.55709505691123,1.55709505691123
