A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,4.2820921592533,6.3917165389043,6.33471505108464,7.97612569735232,8.00700023497904,8.85850757929768,6.17097831370063,6.16803212979851,4.71667712911364,7.34569185495846
ATP5G1,7.95202659486794,2.46839469671868,7.59070285261563,9.05547849690393,7.22267315640104,6.87679397610506,7.19131361341514,6.31388782139964,5.07949402783765,5.34061051587351
BRP44,6.48426514650076,6.6147324774237,4.857077024287,7.25115990528696,7.9696437250125,8.14538951833839,5.61741253851226,7.72806832423132,3.2282423793925,7.31262489244385
C16orf93,7.5857307270457,3.6322357842663,6.65839745737153,8.37083887983535,6.39167486123631,6.6207097050878,6.03896186791244,6.73555838833923,5.70293188453747,4.35298798908069
CD34,8.17141591603312,5.75437518538525,8.63141883805444,9.89288228932895,1.83685464683352,3.50939336422811,7.99814580245466,8.2184876132908,8.16553126247819,7.67358626308805
MAP3K1,7.37227686771646,4.76817776291559,7.84657080249902,9.12159947795322,3.54045856075123,1.78393956140844,5.16924750352273,7.71174744099975,4.61708857579027,5.61540601988405
PCSK91,8.31276896306976,4.34876787087977,8.14338100141725,9.34996571478308,7.37554135252583,7.9379076648172,2.83481656190485,7.57644778847793,5.47444761103337,4.23330139849673
PPP1R12C-Exon2,6.15422978019328,5.54879622479246,5.10052224381021,7.34349524827686,6.18108090466074,6.68075068740927,6.11446858563017,3.83668374147331,4.11867631917137,7.08765827808476
TPH22,8.53994582642978,6.4211295058669,5.93146274139834,7.43886021023485,8.26089408523231,8.06164244138709,5.33458085466117,8.00045327621927,2.9740951372047,7.39077533837244
XRCC6,6.45751403187215,6.29794438213972,6.91321898339827,7.92709839312021,7.17713569536049,6.87986763185675,4.31555115182874,6.9039636099024,6.0026518020977,4.31012581912599
