0,1,2,3,4,5,6,7
,,"Deletion
(66 reads)","Insertion
(108 reads)",,"Unmodified
(22546 reads)",,"UC(Other)
(133 reads)"
0,0,66,108,0,22546,0,133
0.0,0.0,0.2888023454251083,0.47258565615017717,0.0,98.656631514462,0.0,0.5819804839627183
