RP4-697K147,RP4-697K147
WT1,2.88319877291555,2.88319877291555
WT2,2.82231186864264,2.82231186864264
WT3,3.28823497390848,3.28823497390848
T41,2.9141108071262,2.9141108071262
T42,3.3686155277364,3.3686155277364
T43,3.10741710557272,3.10741710557272
GB1,3.41973575691672,3.41973575691672
GB2,3.52150755362593,3.52150755362593
GB3,3.41246547832501,3.41246547832501
HifiH1,NA,NA
HifiH2,NA,NA
HifiH3,NA,NA
HifiH41,NA,NA
HifiH42,NA,NA
HifiH43,NA,NA
HifiHB1,NA,NA
HifiHB2,NA,NA
HifiHB3,NA,NA
