FAM159B,FAM159B
WT1,2.5733017730961,2.5733017730961
WT2,2.58718819363191,2.58718819363191
WT3,2.12590721393844,2.12590721393844
T41,3.32402100206073,3.32402100206073
T42,2.55845561350216,2.55845561350216
T43,3.04882301502067,3.04882301502067
GB1,3.28619026831362,3.28619026831362
GB2,3.03591140591102,3.03591140591102
GB3,2.00868863175213,2.00868863175213
HifiH1,NA,NA
HifiH2,NA,NA
HifiH3,NA,NA
HifiH41,NA,NA
HifiH42,NA,NA
HifiH43,NA,NA
HifiHB1,NA,NA
HifiHB2,NA,NA
HifiHB3,NA,NA
