TPH22,TPH22
WT1,1.79279496070813,1.79279496070813
WT2,2.2726546616109,2.2726546616109
WT3,1.96424081211641,1.96424081211641
T41,3.06679931839048,3.06679931839048
T42,2.28602130191569,2.28602130191569
T43,2.49122760170746,2.49122760170746
GB1,1.70713129619831,1.70713129619831
GB2,2.17676130631718,2.17676130631718
GB3,1.72543177944563,1.72543177944563
HifiH1,2.13666660811698,2.13666660811698
HifiH2,1.80322007013684,1.80322007013684
HifiH3,1.83217718874367,1.83217718874367
HifiH41,NA,NA
HifiH42,2.9740951372047,2.9740951372047
HifiH43,2.83397500743988,2.83397500743988
HifiHB1,2.13431952233697,2.13431952233697
HifiHB2,1.69931033575042,1.69931033575042
HifiHB3,1.52698822641067,1.52698822641067
