A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.46089770233709,7.23060864929482,5.99285180871418,7.94308429336463,6.30526097898205,7.17021336404202,7.34749959911254,6.25044568518246,4.60745795971,8.09514141908728
ATP5G1,7.45382366249158,1.96290880777192,6.02277666640981,7.57705758986621,6.5667837530632,6.31103802007665,6.06730476254253,6.24918381264243,3.8145477689344,4.76555204123599
BRP44,6.71538539124644,5.8735901130622,5.76417656901771,7.74872193788497,7.40468249046878,6.9998369841085,5.91976433629595,7.16700178718716,4.8171495377766,6.75827110554317
C16orf93,7.56244513109514,5.55120238760493,5.78385004093868,7.19122211926634,6.74976744747191,7.342385540954,4.42064386879791,7.34334884097083,5.07035717556314,5.24149960019868
CD34,8.39678531987338,6.93517616261583,9.09597721408878,10.7305574362741,1.40944584392031,3.37325766122148,8.10490484166687,9.08961881887828,8.94499662513845,8.02143268340123
MAP3K1,6.7581665815823,4.78617773162442,7.09676556773182,8.54649696099481,3.35535617075969,1.42775184512595,4.36072990437884,7.02730656189604,4.55834867032352,4.99919543168135
PCSK91,8.16012596331665,6.20895842191062,8.663097843919,10.1466258645246,6.26844016119665,6.04586145583972,1.98535376827426,8.81958694712113,6.64465130661351,4.16896921281321
PPP1R12C-Exon2,5.78208452502642,5.7399677018487,5.25021274891993,6.92539322866726,6.46434715966591,6.88792665172124,5.85717141232982,3.73681628093874,4.37571346384599,6.53644917741312
TPH22,6.04724548499155,3.36154796497137,5.47680829833313,6.83289773624784,5.65393672796205,5.44838926352816,5.00701675234742,5.88513700056651,1.80322007013684,5.31877076169
XRCC6,5.48574921897222,4.41598300489201,5.92452570199193,6.96088526519948,4.35425497001221,4.35142306783585,3.38762028081977,6.04060097537255,5.44194899381615,2.89800246376821
