V1
:10D,96
:10D:mh1,339
:11D,4
:11D:mh1,164
:11D:mh2,190
:12D,53
:12D:mh1,66
:12D:mh2,36
:13D,35
:13D:mh1,98
:13D:mh2,125
:14D,24
:14D:mh1,108
:14D:mh2,15
:15D,32
:15D:mh1,2
:15D:mh4,216
:16D,36
:16D:mh1,94
:17D,68
:17D:mh1,73
:18D,19
:18D:mh2,85
:19D,11
:19D:mh1,16
:19D:mh2,27
:19D:mh3,33
:1D,386
:1I:A,18655
:1I:C,68
:1I:K,410
:1I:T,9
:20D,48
:21D:mh1,29
:22D,27
:22D:mh3,60
:22D:mh4,90
:23D:mh1,4
:23D:mh2,69
:23D:mh4,48
:24D,25
:24D:mh1,3
:24D:mh2,45
:25D,49
:25D:mh1,3
:25D:mh3,32
:27D,8
:27D:mh1,18
:27D:mh2,1
:27D:mh3,19
:28D,7
:28D:mh1,5
:29D,47
:29D:mh2,57
:2D,121
:2D:mh1,35
:30D,140
:30D:mh2,7
:30D:mh3,15
:30D:mh5,106
:32D,17
:32D:mh1,19
:33D,17
:34D,33
:34D:mh1,12
:35D,4
:36D,67
:36D:mh2,9
:37D,16
:38D,3
:3D,195
:3D:mh3,2
:44D,10
:45D,10
:46D,26
:4D,140
:4D:mh4,1168
:57D,26
:5D,38
:5D:mh1,460
:5D:mh3,318
:6D,201
:6D:mh1,25
:7D,90
:7D:mh1,144
:8D,132
:8D:mh2,488
:9D,307
:9D:mh1,90
:9D:mh3,292
