A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,XRCC6
A2LD1,3.55223917139734,5.80018671477003,6.47894952301079,7.49221987634397,7.26154406363336,7.89335197251896,5.61546534305639,6.56294833794356,6.67144578247977
ATP5G1,7.75778077233749,2.60148945327362,8.0420034738641,9.04276280387371,5.97308005069874,5.3231273915624,7.06583724712468,6.902093273025,5.41020974760414
BRP44,5.70679268772693,6.25549867116339,5.1687575156112,7.35833264086711,7.84319606369601,7.67318604196338,5.28145986608303,7.58192503231992,6.97052587293238
C16orf93,7.1617866841418,3.54432155408142,5.85277287955068,7.75765189024674,6.26454848082772,6.29304341846996,5.43905979106461,6.50794266862461,4.00019647748698
CD34,8.4440468054361,5.69035355432666,8.77892116954417,10.6206044616028,1.90381966396161,3.49608791675002,8.15104751485285,8.71564392035634,7.99356394508674
MAP3K1,7.38106678728038,4.17138153168048,8.15175568384221,9.47302278052341,3.57839861719056,1.69976149158927,6.59980829798648,7.98726395541992,6.46629888638104
PCSK91,7.79733641521961,4.77810360530651,6.88676710888919,8.80368939900983,6.97231372214746,7.45751107660706,2.31187691901913,7.50926785484526,3.90789768108401
PPP1R12C-Exon2,7.04409974058333,5.85322121527374,5.50370867990581,7.57508778953266,7.72120191308617,8.02331624921267,6.01254415697391,5.17757947787856,7.20228715134592
XRCC6,7.15500711501198,6.82459057966643,7.84701969804323,8.39747336459576,7.90485709577655,7.99294504741201,3.70049365788865,7.78553888583787,3.05566452405264
