A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.74166180140175,6.85316442213712,6.46514511817295,7.98571902816732,8.05021181130039,9.00058090779229,6.30377113349227,6.96320633202966,4.97694009127999,7.0105116949314
ATP5G1,6.75149110247153,1.69053647143931,5.96408248028324,7.28916305927732,5.00878626112939,4.7614512306401,5.65251595811444,5.77562246032167,3.64850378952792,4.60555368004699
BRP44,5.13375357709779,5.37379309737808,5.29502253566101,6.95652713204226,7.14549875415419,6.49536350421687,5.21338137709586,6.64996221873956,4.53976648810449,6.22058489552673
C16orf93,7.18013940208675,5.04843776705767,5.13353669448893,6.91951548646532,6.23093520265687,6.95333697357684,3.96654417525132,7.12299342688802,4.62440682823324,4.64885244422282
CD34,8.25548905030867,7.45800037773594,9.36724940266613,10.8942266405824,1.69837017509233,3.48845874640014,7.41254562442533,9.69440109221937,9.47619079574643,7.56431600335816
MAP3K1,6.90677363840852,4.65385214203059,6.4901090077985,8.32403318411664,3.29861451006078,1.65558433938417,5.79656270120972,7.22203004894283,5.25221205552721,6.16069707762342
PCSK91,8.19901949224997,7.32674912067441,7.67615725893993,9.58153719955127,6.27833652554082,6.20928827414526,1.99036731973959,9.19313613488056,6.60832573108554,4.50499160609927
PPP1R12C-Exon2,6.61742988057162,5.59943791216724,5.41184484544995,7.51348460211813,7.98315832245366,8.20583106291801,6.21361414437428,4.58521663550763,3.98112372742614,7.31959722459537
TPH22,5.83915807696679,3.4116245772674,5.41645228399312,6.74802510061303,5.33586470521304,5.14933897587446,4.23830913571708,5.79721406926756,1.67086991803797,4.85027437837653
XRCC6,6.42748109179923,6.33078711478561,6.5411373253715,7.63415952474285,7.17874825491485,7.17421707705946,3.58804377397488,7.00276377808728,5.43033841759143,4.23587789812212
