A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,4.09831740690188,7.5536903239475,7.89449232230813,6.41234334006849,8.2112420503384,7.86493973536981,8.11113162718535,8.19505188300879,9.36726152733433,8.26944037069738,9.26551305325626,8.65353803295184,6.94778085019666,7.8278953350242,9.46058335652234,6.32812742129694,5.2224229465927,8.20423208528719,9.1185106424481
AR,6.59297525544368,3.91288255471667,3.07491204526268,7.32879285004255,8.78348184073905,8.73583579433947,8.34775678281134,4.97506749065513,5.1336983078832,8.92942834709156,4.52410232933599,4.42127577531069,3.87717961618695,6.98483998407375,7.58364699053924,4.14101541871073,4.54692347938269,3.31306266035472,2.79864846922839
ATP5G1,8.43376878866445,6.44599181448896,2.14534123383542,8.35908897393326,9.60144648422835,7.22458475109011,7.10361567484187,7.80761857079098,8.40669730493522,7.85286929430601,7.65860655235213,7.35067670911739,5.76780270486218,7.64520404554027,9.01587102406963,7.97440676935354,4.46433506859772,4.72342687910248,6.81082878004172
BRP44,3.87709983039171,5.64440063187227,5.87863889426821,5.25382054433059,7.49540008245082,5.79448491950934,6.07498031477186,8.29392865366391,7.92714168851056,6.19343523645145,7.71351895205436,7.86339690184978,4.69333665788836,6.86476302021263,8.5725481462526,5.32788863568461,4.36365950978907,5.82883041133123,5.85035542615765
C16orf93,8.00610336283035,5.11179871706245,4.64918361797799,6.31979400139791,8.38872373508641,8.47707041408758,8.53848169822039,4.49469428662309,5.28329044532379,8.56859689955742,5.06909281950369,4.69366006511788,5.10336013838494,7.3214404136684,8.15391399659072,7.67581597672077,5.27265773184501,4.6508372901918,5.84749455838109
C17orf96,5.86560371990549,7.81086322812217,7.02275899010602,6.94425224342776,7.93795477686398,3.29575405562496,4.6454035861613,8.50214795021847,8.94956148805773,5.51165006555164,8.30126789330454,8.07115733982355,7.26931632623864,5.51530903126891,9.00925027634255,6.24020685948925,5.09048844099199,7.68571989963452,8.43880959590189
C1orf204,5.04246371309313,8.12651074608084,7.39382789754692,6.49564979824714,7.75513570693859,4.98576019835364,3.9153450813039,8.6932641130636,8.96178925816917,5.74622562430346,8.43060466054708,8.6082400128473,7.17112846529433,6.96162903586899,9.40795853038641,5.25657503693389,4.8348608735478,7.83192989279714,8.58169183651505
CD34,9.30822402749454,8.51935715110496,7.23919332807423,9.87193960159072,11.5150032710057,8.73063185941357,9.39431073538914,1.85654857855283,3.4397626996992,9.85460500095061,3.87981769278538,2.77711138112217,9.03143272893101,9.96151644626471,11.4756135096814,8.94546602409351,9.51298063526169,9.16111645234094,10.0537108231965
FAM159B,6.05862019200828,6.2231818656783,5.5166510146034,5.80630954470122,6.90821095433025,7.12310271343734,6.84260926524386,4.39414400053916,3.21073478100854,7.2252866194459,4.31303302793046,4.25323357924153,5.06566981905975,6.91064101488184,8.09724233569021,5.89192042421112,3.97467285731523,4.9889561758031,7.16082732160698
HBXIP,6.87813388817936,7.82518166093483,6.08533439522149,5.95909524891211,7.73592246841827,4.51943508542858,4.78656664062844,8.05512974845975,8.85268434784417,1.50009055392873,8.31932405980218,8.47256059001556,7.23671482847544,7.56021961818877,9.38448525445165,6.75884663889583,5.30968347294039,7.24253743835412,8.71911101843697
MAP3K1,8.16647584546405,6.06785168228346,4.55119247012322,6.99638250392213,9.32668077985295,10.0217070219818,9.81518375832524,3.47280088687717,3.43979910654898,9.59466027082505,1.14246200759245,3.47437162058501,4.22721211965577,8.4262914171208,9.68805322846143,6.30818790755927,5.29766018236933,5.31212332342566,4.63633854149558
ODZ3,7.55933385250506,8.38546023324941,7.57204671571672,9.70484655608307,10.3111738479744,10.5221967975831,10.0788084263284,3.26985063201377,3.30533565268445,10.7412938472511,3.46627245058452,2.64167930458758,8.32164671519969,9.19910963635139,9.84500805002641,7.72679195316967,8.6141286463584,8.24748370388443,8.26448484654161
PCSK91,9.27072595278406,5.67524422624733,8.03336113636677,9.34673536455684,10.906094347266,10.6770600455722,10.6628010920699,8.61166692244977,9.28464326266164,11.1045516457505,8.58383477850815,9.03771793627799,2.61816107544119,9.9381261883006,8.51513642175831,8.99271198761411,7.61636789846708,5.25721559983505,4.43039663820266
PPP1R12C-Exon2,6.94989944480921,7.74883867126609,6.49715488459189,5.77704601110804,8.4515035915072,4.17180305746618,5.87462075781573,8.62396274767972,9.646930643996,6.4697228838429,8.36940907358235,9.23773925696836,4.72404576367913,4.0114944723384,9.14688103937586,6.81108152912716,4.55043159231516,6.87907501788395,6.51910031456475
RP4-697K147,8.54001130446743,6.18632461604414,6.87480769613082,9.96941931257622,10.7222976522902,10.7434848315509,10.712281168536,8.89946866339212,10.0265153993151,11.199485596562,9.60517564410869,9.37081736692327,5.07670897165207,9.32761077022543,3.35657190936666,8.69142479062277,8.6632259821248,5.09408974237704,4.53410074558133
TMEM57,6.97644502560235,7.46777579074213,5.95563208669746,7.95303845917878,8.88894433153058,8.98389552060007,8.80570121427128,7.86027729563333,8.66396825542242,9.30631791037601,7.96287920173885,8.01003855682125,8.02368787932113,7.29232825638849,9.64292266825704,6.47161670031757,6.54770287518212,7.35170563291718,8.99836349116142
TPH22,6.90882536437599,7.01475591637636,4.52778647851893,6.37197216156553,7.74940810445146,5.402877097781,5.64142055844372,6.39653723660648,6.88891362220205,6.07273734318344,6.24346330045669,6.46063607922603,5.91727530971782,7.00795583578706,9.10234331007892,6.67178093672838,2.13566393008566,6.49358799024727,8.45357182954818
XRCC6,8.83874617353241,5.59365598242751,6.3750978741711,9.44763977324537,10.5038868600111,8.13161295093552,8.18707880647348,9.00165312355297,9.65519301434466,8.84059235381007,8.85540611447267,8.94771471466195,4.5425369433149,9.0835755154631,8.10837065930117,8.52731726769569,7.73024473820232,2.80078759376363,4.39234862596908
ZNF498,8.73759841693753,5.79232250770122,7.05096861993303,10.0447887467359,10.8950209608071,11.131729353708,10.9405682359807,8.98142561869745,9.44935553861217,11.2538663364683,8.59427112430597,9.15346735769329,4.49185716309683,9.46196956402542,3.67168166789746,8.50330878951079,8.75932317573972,5.4391973084338,3.72816138810801
