A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,4.13445685143051,5.73355953132123,6.16981312367701,7.8245609231726,7.77934918373747,8.58738958556907,5.92517325582797,5.91267338665849,4.32274659533985,6.99204462902712
ATP5G1,7.55504027832197,2.30693280306575,7.25202360200365,8.7919418265053,5.92654363958299,5.55440240225338,6.92828972902593,5.9475307930919,4.70432826355813,5.14311783864379
BRP44,6.20507906536902,6.24723829541576,4.60998513599031,6.98925348610782,7.73235808680133,7.9034849457307,5.38770405540544,7.46123696048651,3.00125434131679,7.03891169864537
C16orf93,7.55185729683909,3.60777478969955,6.6570050600745,8.35654759418102,6.35866767976702,6.58939299703376,6.01169635389032,6.70418805552833,5.68195203643389,4.32279894346769
CD34,7.87375870319866,5.32387927336411,8.41703185644606,9.87427635148368,1.72620463246591,3.17695873762868,7.3867304591605,8.40077662139744,7.83107188588624,7.18844135614304
MAP3K1,7.35263210946633,4.75508986455732,7.82137695950822,9.09647021798849,3.52207799890695,1.76867649905869,5.15265679523719,7.69360285248024,4.5910962161445,5.60339793746127
PCSK91,8.06163043234111,4.1703508233909,7.870557346113,9.13040644027573,7.20991358974448,7.77454831459115,2.78497033381046,7.42090667722769,5.35255691638534,4.10668282890774
PPP1R12C-Exon2,6.03779889065613,5.39782088937135,5.06836362941069,7.29197066773069,6.08428860913568,6.59921907519061,6.07180749965987,3.74935691924952,4.09389113047252,7.00587116380118
TPH22,8.50716848739484,6.37114668000252,5.89890067104787,7.38697447383741,8.24349921077672,8.04243215623592,5.27682191598418,7.97973347507395,2.92164164247175,7.37016985420239
XRCC6,6.20309233457701,6.06177341153759,6.14957840421306,7.25965528642767,6.88401072876104,6.60924532460344,3.53248119174384,6.62752661615678,4.65832109037663,4.16667767017528
