A2LD1,AR,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,0.701265683907383,2.16213915697772,2.85616097081142,4.14144499253616,3.55674502554099,3.05857788872602,1.23691235435658,0.779249913713768,3.59120081726531,1.20012622685664,1.13425351865859,0.671747185915916,2.96006723036366,3.15209396662649,3.49632511036124,1.91594039180879,2.55489734840297,1.34478485533998,1.14436394891956
AR,1.13583806356034,1.0904570137289,2.23829727831624,5.2334051377729,4.06704876583591,3.67205915269678,0.765508813442706,0.998800140016697,3.2272745067725,0.761266366219878,0.932462713438515,0.809993518233422,3.76973093046454,2.87556374909189,1.81884663543081,1.22535101531641,2.24568459146001,1.11417358261921,0.638154499429831
BRP44,1.5582248226621,1.4274733304074,1.71660924540843,3.01039583737639,3.03133559741005,2.51253045560366,1.29074454231246,1.57877226877978,3.42689777102931,1.02903779794488,1.33867465129932,1.12419240757147,2.40612264476162,2.23766426315267,2.47019554932251,2.04237853393593,1.46619634085958,1.14928218852407,1.74713490960055
C16orf93,1.67346338765716,1.03890370994829,1.23444925064725,3.06431871649631,2.78256456951376,2.04421258826441,1.15132114239462,1.51086700488583,2.63079983908327,1.40099348002611,1.29010666389066,0.69970626124453,2.27170224616446,1.42519651986644,2.47419475520589,2.18591217262321,1.38880780439381,0.868878049580906,1.90223131195475
C17orf96,2.07883309569383,2.1235977458424,1.92778254241897,2.31381739012694,1.500015724733,2.56216196066988,1.57404411613413,1.85938934372597,2.8077936072902,1.35043011253196,1.42299495149063,1.32542066043809,1.65194784840202,2.56941059267762,2.94702749775924,2.71266197643755,1.53968335818535,1.04556689144829,2.02031532510676
C1orf204,1.59188510603139,1.91806357425001,2.35076066783305,3.76644251167094,2.38241218082573,1.66823540131526,1.36406529309505,1.40338496864399,2.95228651489076,0.990399649608231,1.41727862153126,1.08988921749,2.07302248169096,2.62296433986363,3.846298265276,2.07391049158544,1.94469319499862,1.19643504321004,1.67222695961622
CD34,1.94699387007509,2.60182897804505,3.72229316528524,4.42942385963837,4.29890318511271,4.20888138141498,1.01576434021111,1.08547136607295,4.35544003073809,1.21381373947696,1.16713491991357,1.78592095109574,3.7320339876851,4.231481565414,3.35057098056326,1.74661200062208,3.78392349054412,2.1367751445115,1.28909503783812
FAM159B,1.69772864009577,1.73516002859172,2.29244658226221,3.97988171242199,4.02652273752393,2.39197900759974,1.1368614518102,0.662218952107742,3.59726461585063,1.22184970147864,1.3183406836026,1.36814916763286,3.19756662661167,2.720030040318,3.54300614613332,1.98029206509752,1.82726598437002,1.27666057951495,1.75787113938302
HBXIP,2.49389180535018,1.49071660892453,1.50682518331651,2.55996726578992,1.72698338614057,1.68990036846748,1.56392942840639,1.689403436849,0.606616137805025,1.50518514801719,1.77492483456122,1.12499041634208,1.35100310289465,1.20536807937512,3.2545251815039,2.29793506157452,0.956966699352429,0.478588161110328,2.19243517013847
MAP3K1,1.0501701862047,1.49839828517872,1.87802103762265,2.75454938355848,2.90114009068722,2.46290027379594,0.608661329509905,0.525861394312861,3.17875187997028,0.267899471365449,0.563890218597215,0.831792250096028,2.26562410533079,2.65156971035511,2.24310193173519,1.0577098354831,1.47272986634066,1.05098253295172,0.838264402804831
ODZ3,1.75923006579546,2.91577251481542,4.30522588824544,4.73125226992128,5.12204771063954,5.07432463730554,1.5307624294108,1.50388748748228,7.27583791412742,1.60961878575345,1.06246768510644,2.2041595623138,4.22985775806357,5.32423177599951,3.09204090378297,1.58482419031766,4.47043031288622,3.42947389495711,1.17228040373169
PCSK91,1.26503641440223,2.08637625752852,2.6687689712227,3.87040783012339,3.59867706285607,3.53641926623114,1.23342485953788,1.19935565054573,3.82016729543863,1.25683976476547,0.959014309732703,0.775187722313982,2.94638657364017,3.12534993486719,3.1665826608316,1.88545294036935,2.27980826697527,1.46572596972203,1.34879738800044
PPP1R12C-Exon2,1.72549306372934,1.73113090665603,2.10235617890983,2.17432921573839,1.53102965480513,2.23615813564367,1.21539929589017,1.77238482836082,2.98545880026692,1.2927641102196,1.19223901624252,1.03044840334804,1.08446330104329,2.75747597831157,2.92526164180034,2.28612532402053,1.29924407803105,1.30623989427706,1.76504394011799
PTPLB,2.34028189894923,1.59322239313894,1.48944150343983,2.57171193440017,3.00273897101876,2.74049199434984,0.939983554996569,2.07208385872389,3.08268316455757,1.61270161475222,1.82751602591885,1.21222825388255,2.66771729937157,1.39335059283039,3.15668442837654,2.55567649914578,1.6947774623081,1.52733741615262,2.34679251212417
RP4-697K147,1.70696196344684,1.53312847046408,2.58311820570496,4.01025372530265,3.16977780326464,3.69868290251059,1.11133264546002,1.1585201564639,3.93671053392455,1.48672126882417,0.927913314857894,1.31319875735578,2.75716343066897,3.23184975551751,1.51013166834367,1.39785319061756,1.92949091813707,1.38107948473173,1.10185816234162
TMEM57,1.10938173682683,0.639370532000841,1.73863752296892,3.11690159789807,2.77569166305758,1.86727578661815,0.690768202102995,0.839413504372805,2.72965206533432,0.893803925222469,0.753808675120649,0.839689006103362,1.93438158748351,1.91310448766171,1.78243637347998,0.56665634987561,1.38794673702343,1.03506416906487,0.926410033565645
TPH22,2.83047017193345,1.4590316115231,1.561348808914,3.42740777875412,2.43625222374622,2.06808828948503,2.0271854110093,2.17568472538817,2.33773851152846,1.96027352705422,2.06245117849533,1.57744922332309,1.97263020460764,1.9081842400568,2.72428739544767,2.17374660669538,0.396406477796698,1.37044324757683,2.5439460290946
XRCC6,1.27646918884337,2.40767515947997,3.02767697418221,2.79202856256366,3.36503581978733,3.66259201688987,0.889408364345438,1.14410124763193,3.45512631575038,1.15410881137569,1.04402309612952,1.04889470829338,2.69258578741311,3.09648752342006,3.8146444654115,2.25171858430475,3.01799533498856,1.22376401603381,1.47265044943504
ZNF498,1.18005529380169,1.69294569043397,3.05888034309662,3.78554620427053,3.85016025421345,3.84230967707755,0.676015104170921,0.815772208700051,3.86945672235128,0.856785856928212,0.736062454788887,1.2328421871314,3.16582264460896,3.60349462334878,2.19920250903329,1.07196704942936,2.74380371391803,1.43605055020952,0.52769053207285
