,
Cas9,3.27123942208037,3.27123942208037
dFE,4.38002237657734,4.38002237657734
iFE,3.79285844992202,3.79285844992202
HiFi Cas9,2.46089770233709,2.46089770233709
HiFi dFE,3.79468554982097,3.79468554982097
HiFi iFE,2.88552625385732,2.88552625385732
,
Cas9,3.9577322076522,3.9577322076522
dFE,3.97879535525178,3.97879535525178
iFE,3.55615721457874,3.55615721457874
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,1.88770696932397,1.88770696932397
dFE,2.60025617247522,2.60025617247522
iFE,2.21998846717434,2.21998846717434
HiFi Cas9,1.96290880777192,1.96290880777192
HiFi dFE,2.84014304245149,2.84014304245149
HiFi iFE,1.81157770369931,1.81157770369931
,
Cas9,6.35185213332041,6.35185213332041
dFE,5.57076456085591,5.57076456085591
iFE,5.32791391189397,5.32791391189397
HiFi Cas9,5.76417656901771,5.76417656901771
HiFi dFE,5.58745712894027,5.58745712894027
HiFi iFE,5.91896224868964,5.91896224868964
,
Cas9,8.37905291910439,8.37905291910439
dFE,9.03328313887727,9.03328313887727
iFE,8.3757719409351,8.3757719409351
HiFi Cas9,7.19122211926634,7.19122211926634
HiFi dFE,8.27844145098651,8.27844145098651
HiFi iFE,7.10155519077941,7.10155519077941
,
Cas9,4.39490440933062,4.39490440933062
dFE,4.14645092324239,4.14645092324239
iFE,3.80701496799744,3.80701496799744
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,4.67367562729624,4.67367562729624
dFE,3.92210830823668,3.92210830823668
iFE,4.35171186946889,4.35171186946889
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,1.65810420075713,1.65810420075713
dFE,1.83411957195024,1.83411957195024
iFE,1.64420837862156,1.64420837862156
HiFi Cas9,1.56473996263585,1.56473996263585
HiFi dFE,1.83685464683352,1.83685464683352
HiFi iFE,1.54448382652139,1.54448382652139
,
Cas9,2.5733017730961,2.5733017730961
dFE,3.04882301502067,3.04882301502067
iFE,3.03591140591102,3.03591140591102
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,1.55367422172041,1.55367422172041
dFE,2.54113149677664,2.54113149677664
iFE,1.50176379865784,1.50176379865784
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,1.17104931825275,1.17104931825275
dFE,1.59396376934571,1.59396376934571
iFE,1.19526210607164,1.19526210607164
HiFi Cas9,1.50578058368085,1.50578058368085
HiFi dFE,1.86327357987498,1.86327357987498
HiFi iFE,1.71667028613922,1.71667028613922
,
Cas9,1.96295775306157,1.96295775306157
dFE,3.02549376220761,3.02549376220761
iFE,2.02052239608696,2.02052239608696
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,2.08373556916586,2.08373556916586
dFE,2.63227593883701,2.63227593883701
iFE,2.22852624555472,2.22852624555472
HiFi Cas9,1.98535376827426,1.98535376827426
HiFi dFE,2.83481656190485,2.83481656190485
HiFi iFE,2.09292601707039,2.09292601707039
,
Cas9,2.92444932991308,2.92444932991308
dFE,6.1865606754078,6.1865606754078
iFE,2.80420962824927,2.80420962824927
HiFi Cas9,4.18253209644526,4.18253209644526
HiFi dFE,4.32857411659902,4.32857411659902
HiFi iFE,6.156387737567,6.156387737567
,
Cas9,5.19766250745893,5.19766250745893
dFE,5.24593541324818,5.24593541324818
iFE,NA,NA
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,2.88319877291555,2.88319877291555
dFE,3.10741710557272,3.10741710557272
iFE,3.41973575691672,3.41973575691672
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,6.17290024494865,6.17290024494865
dFE,6.0283923644307,6.0283923644307
iFE,6.743047073118,6.743047073118
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,1.96424081211641,1.96424081211641
dFE,2.49122760170746,2.49122760170746
iFE,1.72543177944563,1.72543177944563
HiFi Cas9,1.83217718874367,1.83217718874367
HiFi dFE,NA,NA
HiFi iFE,1.69931033575042,1.69931033575042
,
Cas9,2.66904157246296,2.66904157246296
dFE,3.44481860345549,3.44481860345549
iFE,2.36626730854157,2.36626730854157
HiFi Cas9,2.89800246376821,2.89800246376821
HiFi dFE,3.44419252654411,3.44419252654411
HiFi iFE,4.17477268065342,4.17477268065342
,
Cas9,3.54757619505829,3.54757619505829
dFE,3.52868867561798,3.52868867561798
iFE,2.9841850673762,2.9841850673762
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,3.54757619505829,3.54757619505829
dFE,3.52868867561798,3.52868867561798
iFE,2.9841850673762,2.9841850673762
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
,
Cas9,3.54757619505829,3.54757619505829
dFE,3.52868867561798,3.52868867561798
iFE,2.9841850673762,2.9841850673762
HiFi Cas9,NA,NA
HiFi dFE,NA,NA
HiFi iFE,NA,NA
