A2LD1,AR,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,3.18984457508469,8.04618137645057,6.50090367105112,8.93538251087721,8.71261247771948,8.61899809310167,8.7603509425183,10.1187614970243,9.16938079494276,10.0765857535523,9.06274868937668,7.28784679136373,6.96551871602543,7.33020631327121,10.034763202872,5.72482394369379,5.41928685699654,8.39119182732244,9.14554274199151
AR,7.38445653254025,3.91480795331773,8.6356783132691,9.92708277271716,9.94410069222024,9.64383179958867,8.63031934494055,8.95596550905055,10.1703271824606,7.87384828732375,8.37143314620448,3.90312040138934,8.23258022626518,9.15991125362807,7.83765704361357,5.23003407079835,5.56782670909725,3.88550906674071,2.66372217959316
BRP44,5.10384396669357,5.7208381375298,6.10931362392471,8.43711287255589,5.89434587457443,6.33386517964024,7.28085520492794,7.26213633149719,6.82785412430259,6.95534696294239,7.18543514344377,5.30643641831173,7.45040549129964,7.57629084308043,8.91570590311497,6.77199755042257,4.45778024219547,6.64113745751022,7.82613826801355
C16orf93,7.98751185232098,4.01146610089498,5.60473212474476,7.78800579532943,8.02830909285843,8.58461248900784,6.795500884847,7.65150907053336,8.38636505744072,7.38266263032657,6.96499890912576,4.22997081194257,6.9714993500223,6.12976759540117,7.66696992924831,7.80757617358058,4.58065692279085,4.35959698711858,5.26544492375608
C17orf96,7.99563877540328,7.53261072478793,7.38986717450566,9.47901196946413,4.11722031755072,5.80196745236878,8.57206756421074,9.60673860532116,6.71464069045341,9.22258706216633,8.33193783579778,7.34119096632118,6.83197650272073,8.07888482745149,10.3428645186203,7.81665280688852,5.58020777978557,8.27359082391767,10.0392240833508
C1orf204,6.45585110231894,6.69780893912097,7.30106560323247,8.98650563182636,5.12446854090177,3.48180256970828,8.11292343364952,8.70697751592222,6.35239933996842,8.11041728650515,8.13501135622585,5.40737473497945,7.57468418578719,8.14438264889926,9.4824184243883,6.38386453825385,4.63835673641636,6.19183004810886,7.12822515013763
CD34,8.73552493588241,8.16704171778246,8.74311180096245,10.7492450797394,8.18743422153954,8.80620064071791,1.50187801456969,2.96106781494864,9.09357289342163,3.43742725851006,2.42177459923463,8.2898910808792,9.37954232391987,9.78121076231354,10.943805673003,8.32713381477302,8.32228136482004,8.46082556008414,9.55889079760019
FAM159B,6.34665231889295,5.49417926607056,6.59697556990156,7.87140063460911,8.10165808506987,7.87818958892245,3.7855818666207,1.890423527991,8.21896697537228,3.30919515431547,3.5698328918374,4.72147081790617,7.15264732790237,6.92892004753997,8.41824026521301,6.27458755045877,3.92747331765161,4.3730824274001,6.23574350571248
HBXIP,7.62964657469896,6.5226045294695,5.71686050918501,8.48503829440507,4.90324375884865,5.3172825476505,8.25911573804514,9.20224442358783,1.3755792629922,8.95665100400042,8.34551881918332,6.43915363190624,8.24596989200253,6.89712623526004,9.8891960728425,7.32983941437381,5.24187965231704,6.71885131437655,7.83080692025966
MAP3K1,7.67353538869719,6.43383055052446,6.53173755578661,8.73839340048336,9.33294730338162,9.22812533932611,3.39059505396942,3.13482742786131,9.18704293577325,0.99570628025595,3.297899971894,4.59103722349565,7.86234900420432,7.4524482355986,9.45133389423686,5.85109596924906,4.47945816014415,5.43241088371431,4.81238277387194
ODZ3,7.31343460692053,7.07019651759098,9.19877653856961,10.9699143924641,11.082899213226,10.6626921633925,3.00275753128962,3.17067863666672,11.3123203435365,3.54599016341635,1.78014291165306,8.43644903728421,9.67604100741631,10.3335804303542,10.4328941974984,7.56652895440562,8.79772447023656,8.02751022362827,8.45305914110564
PCSK91,7.80756374600043,5.51402779942417,8.29638613496742,10.0603059816471,9.78009040217633,10.0161481177097,5.8836685692741,6.52653615436446,10.4108905534133,5.70131380781801,6.20063157462796,1.64551092247821,9.02610544005915,9.04888524883602,8.41138913776237,7.47898051714585,5.39803626049281,4.82469279400764,4.09940266514986
PPP1R12C-Exon2,6.68984845663133,8.31457750751575,6.081738207069,8.89957526657269,4.13038620189327,6.63509641017593,8.52053179377836,9.60513312080732,7.1235308484847,8.45370651334435,9.32358200196517,5.33949408645246,2.71296660084608,6.56559572220599,9.98281583152574,6.52382275523405,4.0779822739126,7.47255197541407,7.64743018336323
PTPLB,5.38296635599569,5.80045844865114,4.77589473878782,6.49082210049044,6.08982363244546,5.93625211077585,6.36334022409624,7.43302633744067,6.57773386356755,6.5857174296817,6.65472469717306,4.9100266677973,5.26569941437562,3.73060071187801,7.68405353605281,5.3895167786772,3.5203253632357,5.06453263338852,7.26257036996853
RP4-697K147,8.68013591217505,6.83760008792201,10.0304878662486,10.7252281611251,10.7800513913438,10.5427507727285,8.50601341176136,9.96761940089681,11.195277724406,9.39534774578421,8.84967249481217,6.36021111278433,9.07522489815616,9.67451844177731,3.1330687281698,8.88036534870148,8.76636361129802,5.61346708346257,5.66227854725998
TMEM57,5.95582478592598,5.4361356249051,6.49496505234911,8.46390689095581,8.68152030448461,8.43914683641711,5.54339489702795,6.21503051300602,8.76654684820402,6.40792477981966,5.64178826753411,6.75797275748944,6.69132152872143,6.8352544759658,5.31676029695766,5.32079650857947,4.88080817825218,6.56111866174307,8.37732492736345
TPH22,7.32293825941355,6.71321206170484,6.72405779149052,8.20721762869693,5.47465831224752,5.81495154987499,7.92016482452317,8.54664269031978,6.28733752523723,7.83822864091875,7.97897279806911,5.18237360605323,7.09125341207836,7.0127839180343,9.08958417477504,7.03468573976983,1.88839535577129,5.90056855194323,7.44673553908298
XRCC6,7.56849238081417,5.15293160335858,8.95705892679166,9.90276063671635,8.0491505041533,8.15415794551774,8.7404423269389,9.37556671989796,8.75156732646506,8.66618691535679,8.79926248524523,4.16835196972381,8.44458169427178,8.97773292975972,7.77983034006079,7.19811034672471,6.98645207821414,2.59082422877077,4.05818753197845
ZNF498,7.90595121625082,5.60722085227361,10.2431366166497,11.0250282529723,11.2881004742074,11.2395419130847,9.76878697430996,10.3143276733554,11.4061082648981,9.28491354813936,9.91801868240539,4.17513003296787,9.42534706939045,10.616609893201,4.01097242624353,7.65056693028308,8.01199255711634,4.77944419909781,3.45086978477661
