0,1,2,3,4,5,6,7
,"Imperfect Editing
(1 reads)","Deletion
(18288 reads)","Insertion
(24452 reads)",,"Unmodified
(2708 reads)",,"UC(Other)
(1020 reads)"
0,1,18288,24452,0,2708,0,1020
0.0,0.0021519722825970003,39.35526910413394,52.62002625406185,0.0,5.827540941272677,0.0,2.1950117282489403
