A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.91896236699352,6.55679732260948,6.48169838779499,8.02731580522869,7.75255572916555,8.63463277781755,7.05005831622943,6.84756350665802,4.96765532111943,7.46302782918002
ATP5G1,7.12751101118511,3.07320901606868,7.38151795550698,8.54825740205251,7.32890319860376,7.06986673576264,6.8327378057619,6.78581035115045,4.41408458520875,5.63817976204448
BRP44,6.682414560663,5.55416689007327,5.9934901325743,8.00549810523971,7.74791804315413,6.92299434613674,5.70486745096266,7.22121585443817,4.35322992388101,6.70975686970943
C16orf93,7.57523509929548,4.73446723379175,5.95058038634274,7.25637793907496,6.73523696179362,7.05889299153015,4.74786543639937,6.32787608413154,5.02962757757848,4.80772589245798
CD34,9.08947151583545,7.65094906579995,9.84268745656844,11.2744181328733,1.92343240081523,3.83485048877656,9.07115013214339,9.86705660008811,9.81082833516531,9.05703011097977
MAP3K1,8.27067078915898,6.25458395560288,8.60588087523928,10.0507507796317,5.0887428592019,3.9676496420184,8.08957292843528,8.84304742322638,6.93283287034661,7.78187232138754
PCSK91,8.86408196437978,7.4512472643625,9.26030139318922,10.6881633532567,8.63900286120743,8.68238741316276,2.51195331958067,9.45515745205515,7.36239528369932,4.76100936085216
PPP1R12C-Exon2,6.6199862568423,7.65961287706277,6.6174763754441,8.29811118578528,7.12893116636106,7.36799121444948,6.98126763139416,7.36232138661277,4.88739562196628,8.26548759541499
TPH22,6.31755977886866,3.59251646491797,5.76600026385834,7.11630709923042,6.7652428318447,6.55806041195909,5.35387174386347,6.00406250329365,2.13431952233697,5.63771478025495
XRCC6,7.30611870834421,7.99390180202544,8.83934103254629,9.69278423924839,8.94525868737947,9.07599597836564,5.43833524517487,8.94046676979598,8.47173630299149,4.59554998759722
