V1
:10D,320
:11D,56
:11D:mh2,1079
:11D:mh4,758
:12D,93
:12D:mh1,174
:13D,306
:13D:mh1,189
:13D:mh3,300
:14D,58
:14D:mh2,1
:15D,94
:15D:mh1,114
:15D:mh2,184
:16D,65
:16D:mh1,10
:17D,254
:18D,155
:18D:mh1,57
:18D:mh2,255
:19D,51
:19D:mh1,67
:19D:mh2,122
:1D,423
:1D:mh1,1
:1I:A,1
:1I:C,3369
:1I:D,3142
:20D:mh1,34
:20D:mh2,69
:21D,74
:21D:mh1,1
:22D,130
:22D:mh1,223
:24D:mh2,80
:25D:mh1,1
:26D:mh1,24
:27D,1
:27D:mh3,139
:28D,1
:28D:mh2,87
:29D,42
:2D,1
:2D:mh1,1157
:30D:mh4,76
:37D,1
:39D,38
:3D,370
:3D:mh1,234
:40D:mh2,1
:47D,83
:4D:mh2,568
:4D:mh4,2006
:50D,71
:51D,4
:52D,86
:56D,213
:5D,418
:5D:mh1,198
:6D,503
:7D,123
:7D:mh5,460
:8D,121
:8D:mh1,457
:9D:mh1,107
:9D:mh2,183
