A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,4.83008188563619,8.45315400682829,8.03927744417609,8.17719112838466,8.93492170296009,8.99774594315896,8.30458093180304,9.25484976000256,9.63679116023693,9.20610737414738,9.25911263254964,9.47978544204002,8.66633699548417,8.02710390148489,9.95811110525025,6.73032521840974,7.69971434660589,8.44569020649508,8.83077551838332
AR,6.45808548888018,4.82615215737421,5.58503269322425,7.03197529824841,8.13864742435642,8.08708995423922,7.78698838430489,5.51980891858949,5.56386273438736,8.57224985852915,5.42645854349331,5.68190627179824,5.15528827642623,7.25895845179347,7.07067345553617,6.6607864302012,6.60063382895898,5.04251310727131,4.77520293386651
ATP5G1,8.06817649193786,6.56711082314609,5.15996055371572,7.73302999125976,8.15714293109484,8.46138728986696,8.07600660200425,7.64341911356866,8.24151935566368,8.93867317068227,7.69657075009527,8.00653759101324,6.51861323765239,7.59770343655601,8.17401283004874,7.6456589060815,7.10198549928122,6.07815719857919,6.4692019243932
BRP44,4.77903909149097,5.55614951985747,6.53395058425748,5.39556441212739,6.62512104195338,6.59092641078093,6.53876519710537,7.46298230869784,7.81080489242846,6.76800332575305,7.58624457328583,7.90335066709595,5.48871807236344,6.34375938202374,7.52030810116787,4.62717815767122,4.88771966163288,6.11221192951869,5.60766646727297
C16orf93,7.69116076064044,6.13214074289275,7.26983361417545,7.85907621722745,9.07085936044139,8.82799305396206,8.86248664444991,5.61363660376342,6.62296423288828,8.99419623690044,6.45503865582638,6.60304010841426,6.69264706778911,8.49542743493963,8.62453933340435,8.3395260702788,7.49790536999204,6.50714465540746,6.65002676586926
C17orf96,6.65918647772408,8.4761745583728,7.40161138121797,7.37751306428044,8.64065198152655,7.38339870868188,8.121986961608,8.86908896310654,9.36701520662901,8.50094786256649,8.96857787644007,9.49095091654402,7.83438045244677,8.12271985194764,9.67320830644122,7.09799058100411,5.95880742844328,8.27859376218223,9.06728970249198
C1orf204,6.34377530578389,8.65130685855558,7.59592930226871,7.10045556365942,8.22895279064201,8.15347541804571,6.87039767205127,8.91102740239002,9.4794069592492,8.4928217228087,8.9620845357887,9.41660320991153,7.99255101997032,7.86319485768407,9.87805392032452,6.50642898783226,5.96184694533908,8.46595043431063,8.92082105537884
CD34,9.2289059640377,9.12105352092752,9.46317599898789,9.93861681537729,11.2338316044242,11.005747267321,11.2326471903706,2.9290611545042,4.38786428312722,11.5101407900568,4.63504632990275,4.5149072733155,9.41990238094284,10.6370630811899,11.0761806462525,9.17028595035555,10.1702703935172,9.8382823506127,9.92681200807585
FAM159B,7.96715518905628,8.77503778732434,7.50156701687834,8.7841476085072,10.2593246478084,9.65115161536825,9.10388169892489,6.81681439667391,5.62676549864496,10.2582959715768,6.47738039281211,7.18611322530098,8.88569111388465,8.97037285328413,9.8911365770912,8.31246064937302,8.27214846650057,8.4195300087556,9.33269653886504
HBXIP,7.28939780594682,8.32297316453456,7.51883183395692,7.36708297500945,8.51637238845572,4.77028220473393,4.86235555701876,8.74244604986324,9.06298843050318,2.33834892359194,8.7801003349202,8.92207612957845,7.51496566879934,8.15337940743887,9.33409513169669,7.30385300008587,6.07221302212364,8.14288280246999,8.97363665034178
