A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,3.27615993529549,8.07471938241686,7.73849002995577,8.52983838936384,9.39905792136631,9.41767660190086,8.41277244523371,7.60547479268652,7.19170922369174,8.17139198682981
ATP5G1,7.4227877985268,5.13720015203929,7.05004007213558,7.95424102985498,5.71703700812535,5.57172288583932,6.98287155489047,7.21748651307064,6.58709135488674,6.45191633902981
BRP44,6.22621918418018,6.49719016291422,6.14488970285142,7.84883571136799,7.72903881243565,7.61982858066916,6.95630826109421,6.91055754225906,5.35741538720585,7.2521418562981
C16orf93,8.11573694212172,6.90334840006182,8.0672692502301,9.22401997507286,7.81107103772203,8.32270004368556,6.52730225307201,8.24374378506381,7.52571815321244,6.3305759301719
CD34,8.41416829294257,8.59470725679912,9.06969593206768,10.7210265411976,2.46293965857509,4.13984955029359,8.96037510320818,9.82910198622391,9.64907680365282,8.9758925642728
MAP3K1,7.09774435055193,6.63047524235504,7.96380115468951,8.86860131003794,4.19636754320661,2.9393556045687,6.60013405914129,7.92778977574428,7.09268177391852,6.33697739793005
PCSK91,6.9235724676764,7.28640453573478,8.14723656886154,9.09147847718844,6.76651753019576,6.77242030271807,2.32298733579023,8.67115917278167,6.6096002414241,5.10429297155691
PPP1R12C-Exon2,9.25049872936363,8.07989508696415,9.04047782965521,10.935549593211,10.3502930511405,9.69769434747653,10.3934508181312,8.48391788102076,9.02752682810207,9.27799211904515
TPH22,6.87549231965351,5.66859790965741,6.30749749215624,7.92120325150437,6.36368195267082,6.36843607049901,6.22989852654549,7.20612371078235,3.56117771668496,7.03794486531838
XRCC6,10.4547835532837,8.74134012186334,10.5168201986669,12.5570985017899,10.2516846382341,9.94950410787649,8.85630255043022,10.6114574212041,9.9947174863701,8.00726668785818
