0,1,2,3,4,5,6,7
,,"Deletion
(29481 reads)","Insertion
(1972 reads)",,"Unmodified
(1508 reads)",,"UC(Other)
(1345 reads)"
0,0,29481,1972,0,1508,0,1345
0.0,0.0,85.93540488544278,5.7482656095143705,0.0,4.395732524922754,0.0,3.9205969801200955
