V1
:10D,532
:10D:mh1,196
:11D,92
:11D:mh1,820
:12D,37
:12D:mh1,408
:12D:mh2,5
:13D,126
:14D,2
:14D:mh1,419
:14D:mh2,282
:15D,78
:15D:mh5,1
:16D:mh1,1
:17D,75
:17D:mh1,204
:17D:mh2,549
:18D,140
:18D:mh1,3
:18D:mh3,66
:19D,2
:19D:mh1,194
:1D,809
:1D:mh1,6606
:1I:A,1
:1I:C,6066
:1I:G,164
:1I:W,349
:20D,1
:21D:mh5,234
:22D,24
:22D:mh1,163
:23D:mh1,155
:26D:mh1,200
:2D,204
:2D:mh1,621
:30D:mh3,1
:38D,2
:39D,1
:3D,18
:3D:mh2,2293
:3D:mh3,242
:43D,1
:44D,94
:46D,5
:4D,426
:4D:mh1,6
:52D,5
:57D,2
:58D,152
:5D,397
:6D:mh1,634
:6D:mh3,2614
:7D,209
:7D:mh2,113
:8D,315
:8D:mh1,234
:9D,90
:9D:mh2,215
:9D:mh3,574
