V1
:10D,297
:10D:mh1,187
:11D:mh1,60
:11D:mh2,392
:12D,86
:12D:mh1,243
:12D:mh2,14
:13D,7
:13D:mh1,181
:13D:mh2,14
:14D,18
:14D:mh1,6
:15D,96
:15D:mh1,131
:15D:mh4,197
:16D,84
:16D:mh1,10
:17D,91
:18D,6
:19D:mh1,17
:19D:mh2,4
:19D:mh3,30
:1D,1666
:1I:A,15770
:1I:G,1
:1I:Y,71
:20D,15
:21D,3
:21D:mh1,40
:22D,30
:22D:mh3,26
:22D:mh4,45
:23D,3
:23D:mh1,13
:23D:mh4,95
:24D:mh1,27
:25D,63
:26D,25
:27D:mh3,4
:28D:mh2,18
:29D,13
:2D,300
:2D:mh1,587
:30D,78
:31D,1
:32D:mh1,2
:33D,16
:34D,4
:35D,59
:36D,12
:38D,17
:38D:mh2,30
:3D,563
:3D:mh3,280
:40D,13
:43D,6
:44D,22
:45D,12
:47D,6
:48D,16
:4D,699
:4D:mh4,145
:50D,3
:53D,43
:55D,21
:56D,37
:57D,36
:59D,45
:5D,8
:5D:mh1,21
:5D:mh3,1478
:60D,12
:6D,700
:6D:mh1,27
:6D:mh2,46
:7D,255
:7D:mh1,55
:8D,108
:8D:mh2,798
:9D,495
:9D:mh3,61
