Iteration	Y	var_1	var_2
1.0	0.08236075951298705	0.5488135039273248	0.978618342232764
2.0	0.08236075951298705	0.7151893663724195	0.7991585642167236
3.0	0.08236075951298705	0.6027633760716439	0.46147936225293185
4.0	0.08236075951298705	0.5448831829968969	0.7805291762864555
5.0	0.08236075951298705	0.4236547993389047	0.11827442586893322
6.0	0.08236075951298705	0.6458941130666561	0.6399210213275238
7.0	0.08236075951298705	0.4375872112626925	0.1433532874090464
8.0	0.08208548345750616	0.8917730007820798	0.9446689170495839
9.0	0.09613393144098115	0.9636627605010293	0.5218483217500717
10.0	0.08236075951298705	0.3834415188257777	0.4146619399905236
11.0	0.08236075951298705	0.7917250380826646	0.26455561210462697
12.0	0.08236075951298705	0.5288949197529045	0.7742336894342167
13.0	0.08236075951298705	0.5680445610939323	0.45615033221654855
14.0	0.09613393144098115	0.925596638292661	0.5684339488686485
15.0	0.08236075951298705	0.07103605819788694	0.018789800436355142
16.0	0.08236075951298705	0.08712929970154071	0.6176354970758771
17.0	0.08236075951298705	0.02021839744032572	0.6120957227224214
18.0	0.09613393144098115	0.832619845547938	0.6169339968747569
19.0	0.08236075951298705	0.7781567509498505	0.9437480785146242
20.0	0.09613393144098115	0.8700121482468192	0.6818202991034834
21.0	0.08236075951298705	0.538623446115319	0.6223293729641947
22.0	0.08236075951298705	0.6660192333054271	0.20158345888594492
23.0	0.08236075951298705	0.20917306692819346	0.22731856936698272
24.0	0.08236075951298705	0.0866161365915956	0.41786099623778744
25.0	0.09613393144098115	0.8249049750453686	0.08693066587563691
26.0	0.08236075951298705	0.6784940168595083	0.3066412235859933
27.0	0.08236075951298705	0.24274170547378235	0.0
28.0	0.08236075951298705	0.2833924569811566	0.870118818251193
29.0	0.08236075951298705	0.0	0.21545177229597134
30.0	0.08236075951298705	0.037597690548558556	0.8513828496382171
31.0	0.08236075951298705	0.29105890056692313	0.6823384015122395
32.0	0.3748940733197835	1.0	1.0
33.0	0.08208548345750616	0.8541909385829349	0.9075842170049012
34.0	0.08208548345750616	0.8416966269797257	0.969364699677674
35.0	0.08236075951298705	0.1269316708344067	0.13069713549082823
36.0	0.08236075951298705	0.16618859207529346	0.7703215940316064
37.0	0.08236075951298705	0.6512881487662321	0.9099942926353823
38.0	0.08236075951298705	0.2329955749116012	0.38490272962455785
39.0	0.08236075951298705	0.23754429474601535	0.5325401636475555
40.0	0.08236075951298705	0.390788815973401	0.5619744244990158
