A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.62441512134778,6.9705937276011,6.50081661887643,8.01787118086802,7.49183368333473,8.48707228237177,6.33912938201127,7.00567229949063,5.03507108767199,7.08946455624957
ATP5G1,7.06550869600848,1.81157770369931,6.13724953555494,7.46717545625404,6.30686068577127,6.07439677121958,5.87615745054136,5.92632739001405,3.82094414940029,4.76615202248671
BRP44,5.51415968658228,5.73543326310057,5.69766906481933,7.37450274304859,7.53824844651098,6.89786482079791,5.61595400232443,7.03642172888155,4.92386718163632,6.60081425028238
C16orf93,7.2614914014041,5.33631657133755,5.23808787237769,7.0050735233249,6.33734608889723,7.06961712108422,4.08886863307278,7.24104962199097,4.81891037538254,4.80784615426113
CD34,8.12701905956069,6.92074788662133,9.04768503626237,10.6420828712526,1.35318117546822,3.36408586118438,6.94738530063349,9.07238370023394,8.90288328188316,7.30449966655304
MAP3K1,6.88696858684522,4.695383712392,6.49159053876793,8.28110608654202,3.29496634591643,1.56853619682508,5.81255845737151,7.21495531395438,5.30792468264861,6.16902819607117
PCSK91,8.32286395205297,7.44974758365579,8.72861073095294,10.2554732592798,6.41110633145311,6.3203498931589,2.09292601707039,9.33442941413436,6.7424286732351,4.61607124327841
PPP1R12C-Exon2,6.72919279524858,6.00523633443515,5.45493643435079,7.58898961510947,8.1559359609473,8.39243176359864,6.39423074703632,4.74851478329265,4.12563789019095,7.45699125093203
TPH22,5.8831634727033,3.43864144405965,5.44267447712828,6.7774035961949,5.36477975445572,5.17802969593619,4.35210721071832,5.82590269463036,1.69931033575042,4.93553038949298
XRCC6,6.56334731829756,6.40528242188444,6.82996635854483,7.87542064949066,7.20553292475734,7.19966347808082,3.80194108839425,7.06425332329856,5.94423905471946,4.17477268065342
