V1
:10D,1639
:10D:mh1,46
:10D:mh3,870
:11D,955
:11D:mh1,347
:12D,431
:13D,395
:13D:mh1,173
:14D:mh1,7
:15D,118
:15D:mh1,254
:15D:mh2,10
:16D,26
:16D:mh2,2
:17D,9
:18D,15
:18D:mh1,76
:18D:mh2,903
:19D:mh1,65
:19D:mh2,3
:1D,3575
:1I:A,12499
:1I:Y,4247
:20D,81
:21D,138
:21D:mh2,282
:21D:mh5,2563
:22D:mh1,1
:22D:mh4,984
:23D,50
:24D,64
:24D:mh1,310
:24D:mh2,116
:25D,183
:26D,2
:27D,203
:27D:mh2,105
:27D:mh4,6
:28D:mh4,579
:2D:mh1,1605
:2D:mh2,1
:30D,145
:30D:mh2,150
:32D,125
:32D:mh1,2
:35D,23
:35D:mh1,1
:36D,1502
:37D,1
:3D,515
:41D,104
:42D,2
:4D,3
:4D:mh4,3635
:50D,2
:51D,16
:53D,283
:5D,657
:5D:mh1,1
:5D:mh2,1
:6D,247
:6D:mh1,118
:6D:mh2,379
:7D,78
:7D:mh2,292
:8D,529
:8D:mh1,281
:8D:mh2,11
:9D,609
:9D:mh1,39
