A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,3.71666295492266,5.92130136823659,6.18672969570393,7.94202397444949,7.26449711364097,8.13263722723655,6.15571203979176,5.91198508989128,4.350048339233,7.08873033716958
ATP5G1,8.12965524843829,2.76409120131827,8.08965892232779,9.13651613274013,5.73361972605983,5.36556751796657,7.09642372974137,7.17260129336103,4.92514844324873,5.55329122918774
BRP44,6.88656100631707,6.6873795610106,5.49094407081186,7.62048817181575,8.31234138446496,7.78206297142288,5.09090069164035,7.84353212549921,3.09206267331658,7.15271494091136
C16orf93,6.70164107090482,3.44604883743758,6.46157734503149,8.2139498737371,6.18335229762386,6.5907657922643,5.72142338749513,6.5221208085246,5.33213324185057,4.19716800041682
CD34,7.92938635898292,5.55319256426311,8.45670858899638,10.119350861852,1.50361899872811,3.28537253336513,6.57809023960977,8.47068273142768,7.56833607390579,6.86743425146413
MAP3K1,6.98422025888452,4.69562760693625,7.83934675771152,9.16880548605913,3.66307837804516,1.87824771354694,6.67281189287486,7.85012637508954,4.75082012311249,6.52633980881175
PCSK91,7.57415155730846,4.64300414114058,7.45962427826349,9.10908895781511,7.07243345490057,7.90725685608825,2.80256259213513,7.46357157022522,5.1046676577137,4.21360642116368
PPP1R12C-Exon2,6.47398425804834,6.03601666329601,4.89541197162586,7.22680819388325,7.88471610341412,7.63175049290666,5.91209532644782,4.28564304234639,3.57917941889722,7.36931565803453
TPH22,8.23751978726768,6.98530645040763,6.1149877861188,7.56970190879739,7.81716261479846,7.73290448751125,5.65490348481391,8.3213193682136,2.83062477284428,8.00693228742055
XRCC6,6.84087950009825,6.26817889728084,7.93230174242463,8.73920895171926,7.75470074181616,7.70473172756083,3.95111212980679,7.67358992345289,7.26694702174381,3.42477546634341
