A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.82004264406479,7.44719064936642,6.39082624331659,8.25470736615271,8.13196287480219,9.51688202423535,7.07845063009185,7.21427254609942,5.31833529291484,7.97864930522948
ATP5G1,6.80373594921037,1.50441056786575,6.2766246146881,7.87424021669193,4.28660623787544,3.99923640699248,5.49412263404662,5.36637243511692,3.55120059340218,4.23851746199027
BRP44,5.59748729680857,5.88212872557987,5.49943043244373,7.04599545265089,7.53528185282068,6.9244717343838,5.38911948855951,6.02885673187038,4.62128041204302,6.54394877441629
C16orf93,7.2809894186269,4.82584994138808,5.88291147925793,7.04730483428903,6.37759094928876,6.71980269754035,3.64633788806086,7.02994174067482,4.93430822861251,4.54099355359628
CD34,8.5030479900443,7.30964156478804,8.86038818103648,10.7475765520538,1.62017596811983,3.52564855791598,8.35773066697419,9.50776311891792,8.50509675019689,8.58372014007537
MAP3K1,6.6851258551897,4.98470933022711,6.25074188154926,8.05909981835124,3.27534771012142,1.70638562047299,4.67903426228939,7.28145744520654,4.9179053061119,5.41869014857624
PCSK91,7.22775151689926,6.45565614901411,8.34427338348112,9.76893804575762,6.18844991639976,5.93803479319403,1.6839244483219,8.53190872444983,6.03972814336553,4.09580690518245
PPP1R12C-Exon2,6.9155096569531,6.60250736310156,5.5871066693614,7.34543639916497,8.19331761284958,8.0850919633995,5.79485850910943,5.95847103986982,3.64823897885239,7.61167585979954
TPH22,5.90620344703723,3.08743460951423,5.46835292165339,6.83336451257863,5.09413335782736,4.87793933988468,4.90081850406117,5.72546248568657,1.44309396695851,5.23905792315301
XRCC6,5.80266647703106,5.3348485803517,6.56608342808507,7.261743649688,5.8127446443867,5.6960041792027,3.33005523503574,6.36659458731688,5.82201495794797,2.55849733507712
