A2LD1,A2LD1
WT1,2.6467879160234,2.6467879160234
WT2,3.84633601854887,3.84633601854887
WT3,3.27123942208037,3.27123942208037
T41,3.46198810215533,3.46198810215533
T42,4.59442107189785,4.59442107189785
T43,4.38002237657734,4.38002237657734
GB1,3.79285844992202,3.79285844992202
GB2,4.11613530676228,4.11613530676228
GB3,2.80871010003153,2.80871010003153
HifiH1,2.27798913224764,2.27798913224764
HifiH2,2.46089770233709,2.46089770233709
HifiH3,2.84534722189636,2.84534722189636
HifiH41,3.76861486911997,3.76861486911997
HifiH42,4.2820921592533,4.2820921592533
HifiH43,3.79468554982097,3.79468554982097
HifiHB1,2.91896236699352,2.91896236699352
HifiHB2,2.62441512134778,2.62441512134778
HifiHB3,2.88552625385732,2.88552625385732
A2LD1,A2LD1
WT1,2.6467879160234,2.6467879160234
WT2,3.84633601854887,3.84633601854887
WT3,3.27123942208037,3.27123942208037
T41,3.46198810215533,3.46198810215533
T42,4.59442107189785,4.59442107189785
T43,4.38002237657734,4.38002237657734
GB1,3.79285844992202,3.79285844992202
GB2,4.11613530676228,4.11613530676228
GB3,2.80871010003153,2.80871010003153
HifiH1,2.27798913224764,2.27798913224764
HifiH2,2.46089770233709,2.46089770233709
HifiH3,2.84534722189636,2.84534722189636
HifiH41,3.76861486911997,3.76861486911997
HifiH42,4.2820921592533,4.2820921592533
HifiH43,3.79468554982097,3.79468554982097
HifiHB1,2.91896236699352,2.91896236699352
HifiHB2,2.62441512134778,2.62441512134778
HifiHB3,2.88552625385732,2.88552625385732
